iter	Passed	Remaining
0	143	143707
1	144	72286
2	146	48562
3	147	36652
4	148	29511
5	149	24755
6	150	21357
7	151	18836
8	153	16932
9	155	15356
10	156	14083
11	157	12993
12	158	12070
13	159	11266
14	161	10579
15	162	9973
16	163	9442
17	164	8971
18	165	8545
19	166	8167
20	167	7816
21	168	7495
22	169	7204
23	170	6949
24	172	6709
25	173	6487
26	174	6280
27	175	6081
28	176	5896
29	177	5723
30	177	5562
31	178	5411
32	179	5270
33	180	5139
34	182	5036
35	184	4933
36	185	4828
37	186	4728
38	187	4628
39	188	4532
40	189	4443
41	191	4359
42	192	4277
43	193	4200
44	194	4125
45	195	4052
46	196	3989
47	197	3925
48	198	3861
49	199	3799
50	200	3738
51	201	3679
52	202	3623
53	203	3568
54	204	3516
55	205	3465
56	206	3416
57	207	3368
58	208	3321
59	209	3276
60	209	3232
61	210	3190
62	212	3156
63	213	3125
64	215	3092
65	216	3062
66	217	3030
67	218	2990
68	219	2959
69	220	2928
70	221	2896
71	222	2866
72	223	2838
73	224	2811
74	225	2786
75	227	2760
76	228	2734
77	229	2707
78	229	2680
79	230	2654
80	231	2628
81	232	2602
82	233	2579
83	234	2558
84	235	2533
85	236	2513
86	237	2490
87	238	2470
88	239	2450
89	240	2430
90	241	2415
91	243	2403
92	245	2390
93	246	2375
94	247	2359
95	248	2342
96	249	2327
97	251	2312
98	252	2298
99	253	2284
100	255	2270
101	255	2252
102	257	2239
103	258	2225
104	259	2210
105	260	2196
106	261	2181
107	262	2167
108	263	2152
109	264	2138
110	265	2124
111	266	2111
112	267	2097
113	268	2084
114	269	2071
115	269	2056
116	271	2049
117	272	2040
118	273	2028
119	275	2018
120	276	2007
121	277	1996
122	278	1982
123	279	1972
124	280	1961
125	281	1952
126	282	1942
127	283	1929
128	284	1919
129	285	1911
130	286	1902
131	287	1893
132	289	1884
133	290	1874
134	290	1864
135	291	1853
136	292	1843
137	293	1832
138	294	1822
139	295	1812
140	295	1803
141	296	1794
142	297	1785
143	298	1776
144	299	1767
145	301	1761
146	302	1755
147	303	1747
148	304	1741
149	306	1735
150	307	1727
151	308	1720
152	309	1713
153	310	1705
154	311	1697
155	312	1690
156	313	1682
157	314	1675
158	315	1669
159	316	1664
160	318	1658
161	319	1651
162	320	1644
163	321	1636
164	322	1629
165	323	1623
166	324	1617
167	325	1611
168	326	1605
169	327	1598
170	328	1591
171	329	1585
172	330	1579
173	332	1576
174	333	1571
175	334	1566
176	335	1561
177	337	1556
178	338	1551
179	339	1546
180	339	1538
181	341	1533
182	342	1528
183	343	1523
184	344	1519
185	346	1514
186	347	1510
187	348	1505
188	349	1500
189	351	1496
190	352	1491
191	353	1487
192	354	1481
193	355	1476
194	356	1471
195	357	1466
196	358	1461
197	359	1457
198	361	1455
199	363	1452
200	364	1448
201	365	1444
202	366	1439
203	367	1435
204	369	1431
205	370	1426
206	371	1422
207	372	1417
208	373	1412
209	374	1408
210	375	1404
211	376	1399
212	377	1395
213	378	1391
214	379	1386
215	380	1381
216	381	1376
217	382	1371
218	383	1366
219	383	1361
220	384	1356
221	385	1351
222	386	1347
223	387	1343
224	388	1338
225	389	1334
226	390	1330
227	392	1327
228	393	1324
229	394	1320
230	395	1316
231	396	1312
232	397	1308
233	398	1305
234	399	1301
235	400	1297
236	401	1292
237	402	1289
238	403	1285
239	404	1281
240	405	1277
241	406	1272
242	407	1268
243	408	1264
244	409	1260
245	409	1256
246	410	1252
247	411	1248
248	412	1244
249	413	1240
250	414	1236
251	415	1232
252	416	1228
253	417	1224
254	417	1220
255	418	1216
256	419	1213
257	421	1210
258	422	1208
259	423	1206
260	424	1202
261	425	1199
262	427	1196
263	428	1193
264	429	1190
265	430	1187
266	431	1185
267	433	1182
268	434	1180
269	435	1177
270	436	1174
271	437	1171
272	438	1169
273	440	1166
274	441	1164
275	442	1161
276	444	1159
277	445	1156
278	446	1153
279	447	1150
280	448	1148
281	450	1147
282	452	1146
283	453	1144
284	455	1141
285	456	1138
286	457	1135
287	458	1133
288	459	1130
289	460	1128
290	461	1125
291	463	1122
292	464	1120
293	465	1117
294	466	1115
295	467	1112
296	468	1109
297	469	1106
298	470	1103
299	471	1100
300	472	1097
301	473	1093
302	474	1090
303	474	1087
304	475	1084
305	476	1081
306	477	1078
307	478	1074
308	479	1071
309	480	1070
310	482	1068
311	483	1066
312	484	1064
313	486	1061
314	487	1059
315	488	1057
316	489	1054
317	490	1051
318	491	1049
319	492	1046
320	493	1044
321	494	1041
322	495	1038
323	496	1035
324	497	1032
325	498	1029
326	498	1026
327	499	1024
328	500	1021
329	501	1018
330	502	1016
331	503	1013
332	504	1010
333	505	1008
334	506	1005
335	507	1002
336	508	999
337	508	996
338	509	994
339	510	991
340	511	989
341	512	986
342	513	984
343	514	981
344	515	978
345	516	976
346	517	973
347	518	970
348	518	967
349	519	965
350	520	962
351	521	960
352	522	957
353	523	955
354	524	953
355	525	951
356	527	949
357	528	947
358	529	945
359	530	943
360	531	941
361	533	939
362	534	937
363	535	934
364	536	932
365	537	930
366	538	928
367	539	927
368	540	924
369	541	922
370	542	920
371	543	917
372	544	915
373	545	913
374	546	910
375	547	908
376	548	905
377	549	903
378	549	901
379	550	898
380	551	896
381	552	893
382	553	891
383	554	889
384	555	887
385	557	886
386	558	884
387	559	882
388	560	880
389	561	878
390	562	876
391	563	874
392	564	872
393	566	870
394	567	868
395	568	866
396	569	864
397	569	862
398	571	860
399	572	858
400	573	856
401	574	854
402	576	853
403	577	851
404	578	849
405	579	847
406	580	845
407	581	843
408	582	841
409	583	839
410	584	837
411	586	836
412	587	834
413	588	833
414	589	831
415	590	829
416	591	827
417	592	825
418	593	823
419	594	821
420	595	819
421	596	817
422	597	815
423	599	813
424	600	811
425	601	810
426	602	808
427	603	806
428	604	804
429	605	802
430	606	800
431	607	798
432	607	796
433	608	793
434	609	791
435	610	789
436	611	787
437	612	786
438	613	784
439	615	782
440	616	781
441	617	779
442	618	778
443	619	776
444	620	774
445	621	772
446	622	770
447	623	768
448	624	766
449	626	765
450	627	763
451	628	761
452	629	759
453	630	758
454	631	756
455	632	754
456	632	752
457	633	749
458	634	747
459	635	745
460	636	744
461	637	742
462	638	740
463	638	738
464	639	736
465	640	734
466	641	732
467	642	730
468	643	728
469	645	727
470	646	726
471	648	725
472	649	723
473	650	721
474	651	719
475	652	718
476	653	716
477	654	714
478	655	713
479	657	711
480	658	710
481	659	708
482	660	706
483	661	704
484	662	703
485	663	701
486	663	699
487	664	697
488	665	695
489	666	693
490	667	691
491	668	689
492	669	688
493	669	686
494	670	684
495	671	682
496	672	680
497	674	679
498	675	677
499	676	676
500	677	674
501	678	672
502	679	671
503	680	669
504	681	668
505	682	666
506	683	664
507	684	663
508	686	661
509	687	660
510	688	658
511	689	657
512	690	655
513	691	653
514	692	652
515	693	650
516	694	648
517	695	646
518	695	644
519	696	643
520	697	641
521	698	639
522	699	638
523	700	636
524	701	634
525	702	633
526	703	631
527	705	630
528	706	629
529	708	627
530	709	626
531	710	624
532	711	622
533	712	621
534	713	619
535	714	618
536	715	616
537	716	615
538	717	613
539	718	612
540	719	610
541	720	609
542	721	607
543	722	605
544	723	603
545	724	602
546	724	600
547	725	598
548	726	597
549	727	595
550	728	593
551	729	592
552	730	590
553	731	588
554	732	587
555	733	585
556	734	584
557	736	583
558	737	581
559	738	580
560	739	578
561	740	577
562	741	575
563	742	574
564	743	572
565	744	571
566	746	569
567	747	568
568	748	566
569	749	565
570	750	563
571	751	562
572	752	560
573	753	558
574	754	557
575	754	555
576	755	554
577	756	552
578	757	550
579	758	549
580	759	547
581	760	545
582	761	544
583	761	542
584	763	541
585	764	540
586	765	538
587	767	537
588	768	536
589	769	534
590	771	533
591	772	532
592	773	530
593	774	529
594	775	527
595	776	526
596	777	525
597	778	523
598	780	522
599	780	520
600	781	519
601	782	517
602	783	515
603	784	514
604	785	512
605	785	510
606	786	509
607	787	507
608	788	506
609	789	504
610	790	503
611	791	501
612	792	500
613	793	498
614	795	497
615	796	496
616	797	495
617	798	493
618	800	492
619	801	491
620	802	489
621	803	488
622	804	486
623	805	485
624	806	483
625	807	482
626	808	480
627	809	479
628	810	477
629	811	476
630	812	475
631	813	473
632	814	472
633	816	471
634	817	469
635	818	468
636	819	466
637	820	465
638	821	464
639	822	462
640	824	461
641	825	460
642	826	458
643	827	457
644	828	456
645	829	454
646	831	453
647	832	452
648	833	450
649	834	449
650	835	447
651	836	446
652	837	445
653	839	443
654	840	442
655	841	441
656	843	440
657	844	438
658	845	437
659	846	436
660	847	434
661	848	432
662	848	431
663	849	429
664	850	428
665	851	427
666	852	425
667	854	424
668	855	423
669	857	422
670	858	420
671	859	419
672	860	418
673	861	416
674	862	415
675	863	414
676	864	412
677	865	411
678	867	409
679	868	408
680	868	407
681	870	405
682	871	404
683	872	402
684	872	401
685	873	399
686	874	398
687	875	397
688	876	395
689	877	394
690	878	392
691	879	391
692	879	389
693	880	388
694	881	386
695	883	385
696	884	384
697	885	383
698	887	381
699	888	380
700	889	379
701	890	377
702	891	376
703	892	375
704	893	374
705	894	372
706	895	371
707	896	369
708	898	368
709	899	367
710	900	365
711	901	364
712	902	363
713	903	361
714	904	360
715	905	359
716	906	357
717	907	356
718	908	354
719	909	353
720	910	352
721	910	350
722	911	349
723	913	348
724	914	347
725	916	345
726	917	344
727	918	343
728	919	341
729	920	340
730	921	339
731	922	337
732	924	336
733	924	335
734	926	333
735	926	332
736	927	331
737	928	329
738	929	328
739	930	326
740	931	325
741	932	324
742	933	322
743	934	321
744	935	320
745	936	318
746	937	317
747	937	315
748	938	314
749	939	313
750	940	311
751	941	310
752	943	309
753	944	308
754	946	306
755	947	305
756	948	304
757	949	303
758	950	301
759	951	300
760	952	299
761	953	297
762	954	296
763	955	295
764	956	293
765	957	292
766	958	291
767	959	289
768	960	288
769	961	287
770	962	285
771	963	284
772	963	283
773	964	281
774	965	280
775	966	278
776	967	277
777	968	276
778	969	274
779	970	273
780	971	272
781	972	271
782	973	269
783	975	268
784	976	267
785	977	266
786	978	264
787	979	263
788	980	262
789	981	260
790	982	259
791	983	258
792	984	257
793	985	255
794	986	254
795	987	253
796	988	251
797	989	250
798	990	249
799	991	247
800	992	246
801	993	245
802	994	243
803	995	242
804	996	241
805	996	239
806	997	238
807	998	237
808	999	235
809	1000	234
810	1000	233
811	1001	231
812	1003	230
813	1004	229
814	1005	228
815	1006	226
816	1007	225
817	1008	224
818	1009	223
819	1010	221
820	1011	220
821	1012	219
822	1013	217
823	1014	216
824	1015	215
825	1016	214
826	1017	212
827	1018	211
828	1019	210
829	1020	208
830	1021	207
831	1022	206
832	1023	205
833	1024	203
834	1024	202
835	1025	201
836	1026	199
837	1027	198
838	1028	197
839	1029	196
840	1029	194
841	1030	193
842	1031	192
843	1033	191
844	1034	189
845	1035	188
846	1037	187
847	1038	186
848	1039	184
849	1040	183
850	1041	182
851	1042	181
852	1043	179
853	1044	178
854	1045	177
855	1046	176
856	1048	174
857	1049	173
858	1050	172
859	1051	171
860	1052	169
861	1053	168
862	1054	167
863	1055	166
864	1055	164
865	1056	163
866	1057	162
867	1058	161
868	1059	159
869	1060	158
870	1061	157
871	1062	155
872	1063	154
873	1065	153
874	1066	152
875	1067	151
876	1068	149
877	1069	148
878	1070	147
879	1071	146
880	1072	144
881	1073	143
882	1074	142
883	1075	141
884	1077	139
885	1078	138
886	1079	137
887	1080	136
888	1080	134
889	1081	133
890	1082	132
891	1083	131
892	1084	129
893	1085	128
894	1086	127
895	1087	126
896	1088	124
897	1089	123
898	1090	122
899	1091	121
900	1091	119
901	1093	118
902	1094	117
903	1096	116
904	1097	115
905	1098	113
906	1099	112
907	1100	111
908	1101	110
909	1102	109
910	1103	107
911	1105	106
912	1106	105
913	1107	104
914	1108	102
915	1109	101
916	1110	100
917	1111	99
918	1112	98
919	1112	96
920	1113	95
921	1114	94
922	1115	93
923	1116	91
924	1117	90
925	1118	89
926	1119	88
927	1120	86
928	1121	85
929	1122	84
930	1123	83
931	1125	82
932	1126	80
933	1127	79
934	1128	78
935	1129	77
936	1130	76
937	1131	74
938	1132	73
939	1133	72
940	1134	71
941	1135	69
942	1136	68
943	1138	67
944	1138	66
945	1139	65
946	1140	63
947	1141	62
948	1142	61
949	1143	60
950	1144	58
951	1145	57
952	1145	56
953	1146	55
954	1147	54
955	1148	52
956	1149	51
957	1150	50
958	1151	49
959	1152	48
960	1154	46
961	1155	45
962	1156	44
963	1157	43
964	1159	42
965	1160	40
966	1161	39
967	1162	38
968	1163	37
969	1164	36
970	1165	34
971	1166	33
972	1167	32
973	1168	31
974	1169	29
975	1170	28
976	1171	27
977	1171	26
978	1172	25
